,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3231534,1582334,Dirty Loops & Cory Wong - Follow The Light (Mir) [Racing to the Stars],★ 6.49,112.0,3:40,1525,4.2,9.5,8.5,NM,unconventional consistency
1,2,4337667,2072719,xi - over the top (-Tynamo) [expert],★ 6.63,202.0,1:54,1205,4.0,9.4,9.0,NM,strems!
2,3,3622466,1769623,THE DU - CRAZY NOISY BIZARRE TOWN (flake) [O-OI JOSUKE! SOMEONE LEFT A BANGER IN THE MAPPOOL!],★ 6.17,136.0,2:50,1169,4.2,9.5,9.0,NM,JOJOS (boys) mixed alt!!
3,4,2868387,1388906,Raphlesia & BilliumMoto - My Love (Mao) [Our Expert],★ 6.11,175.0,3:42,1882,4.1,9.2,8.3,NM,boys are my love (real)
4,5,4462918,2123608,Raimukun - Icyxis (Another Flower) [EXTREMARA],★ 6.64,222.0,1:42,1369,3.8,9.6,8.8,NM,stamina tapping
5,6,3632385,1371308,DJ Mass MAD Izm* - Red. by Full Metal Jacket (yf_bmp) [Voice's Extra],★ 5.50,158.0,1:58,1066,3.2,9.2,8.0,NM,slider control gimmick
6,7,1962157,902425,Feryquitous feat. Aitsuki Nakuru - Ether (Acyl) [fanzhen's Extra],★ 6.25,200.0,3:39,1390,4.6,9.2,8.0,HD,fanzhen light tech aim
7,8,3535284,1729856,Sheena Ringo - Open Secret (Nymphe) [Oba],★ 5.61,165.0,2:46,1001,4.0,8.0,8.5,HD,sf hd2 but harder
8,9,4248275,2036995,"Taiga Hirano (CV: Matsuoka Yoshitsugu), Akira Kagiura (CV: Shimazaki Nobunaga) - Aoi Pierce (Flask) [Gently Placed, The Glittering Blue Pierce]",★ 5.77,196.0,3:13,1320,4.0,9.4,8.8,HD,boys swing
9,10,664851,296017,Icon For Hire - Cynics & Critics (Priti) [Extreme],★ 6.66,181.0,2:54,1037,5.2,10.0,10.0,HR,mix of comfy and awk aim
10,11,1916285,862256,SOPHIE - Faceshopping (Myxo) [squirrelp's Expert],★ 5.95,114.0,3:31,999,7.15,10.0,10.0,HR,precision gimmick
11,12,2768157,1336197,Getty vs. DJ DiA - Engage-Rex- (Realazy) [captin's Extra],★ 6.35,200.0,2:25,1144,5.2,10.0,10.0,HR,more mech tech
12,13,4189977,2013441,JKT48 - Ponytail dan Shu-Shu (SayuMana) [SummerShine],★ 6.57,240.0,2:53,1345,3.8,10.33,9.78,DT,refer to hd2 comment but its dt1 now
13,14,4024733,1615815,Giga x TENKOMORI - Netoge Haijin Sprechchor (Cut Ver.) (Ixcors) [Insane (AR8.5 Edit)],★ 6.57,262.5,1:45,1151,3.7,10.0,9.24,DT,speed bursts
14,15,3642792,1778687,Shibayan feat. yana - Oznei Haman wa Mou Iranai (itay) [Selfish Desire],★ 6.16,187.5,3:57,2301,4.7,9.87,9.78,DT,control
15,16,2131562,902215,Joji - SLOW DANCING IN THE DARK (Mayflower) [INSANE feat. EM0NKY],★ 5.99,267.0,2:17,1056,4.4,10.33,9.64,DT,high ar sliders emo song...
16,17,277983,106010,bibuko - Sorairo Gahou (val0108) [0108-Insane],★ 6.13 (6.48),250.0,2:18,990,4.0,9.0,8.0,FM,dense snap aim/alt
17,18,3284140,1608317,jun - KIMONO <3 PRINCESS (Alvearia) [Ex],★ 5.88 (6.61),190.0,1:41,636,5.0,8.0,8.0,FM,antimod
18,19,2883686,1397341,Mikazuki BIGWAVE - WAVE2020 (Faito) [EXTRA],★ 5.74 (6.06),160.0,2:24,1089,3.0,9.0,8.0,FM,epic map
19,20,4794664,2182177,Studi01 - Boykisser (Stupid Femboy) [thesamediffbutit'sfunny],★ 7.11 (8.58),100.0,1:39,629,6.2,9.2,9.0,F+,boykisser aim
20,21,4797456,2255206,jun - DAZZLING <3 SEASON (hlv) [<3],★ 5.54 (5.84),180.0,1:40,638,4.0,7.0,8.5,F+,hlv reading
21,22,4270223,2045714,huh - huh (Emerald Ages) [huh],★ 5.00 (5.27),342.0,0:41,178,4.0,10.0,9.4,F+,huh
22,23,4582805,2171315,PSYQUI - Your Voice so... feat. Such (gazimal) [My Dear...],★ 6.57,176.0,3:57,2174,4.0,9.5,9.0,TB,tjukas
