,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,4186735,2012016,Utsu-P - B-CLASS HEROES (Wiped) [(just) jump],★ 6.75,216.0,3:22,1241,4.0,9.4,9.0,NM,raw aim
1,2,657917,292301,xi - Blue Zenith (Asphyxia) [ktgster's Extreme],★ 6.81,200.0,3:49,2320,4.0,9.4,8.7,NM,cookiezi
2,3,3397676,1664354,Ado - Ashura-chan (flake) [NEEEEEEEEEEEEEEEEEEEEEEEEEEE],★ 6.29,156.0,3:08,1510,4.4,9.6,9.0,NM,alt
3,4,3742246,1823759,Feryquitous feat. Sennzai - Rugie (Sagu) [Askeira],★ 6.22,191.0,3:10,1578,4.0,9.5,8.5,NM,not system sun
4,5,4010877,1939881,69 de 74 - DESPERATE DEATHPARADE (rollpan) [EXTRA],★ 6.82,225.0,1:56,1263,3.5,9.4,8.6,NM,tapping stamina
5,6,4215338,2023741,leroy - wants mom to know she looks cool and doesn't plan on changing (wafer) [love her even tho i cant tell her everything i want],★ 6.51,194.0,2:13,1094,4.0,9.3,8.6,NM,tjukas
6,7,4222413,2026486,VaVa - Wo Xiang Dui Ni Shuo Baby (Yu vs. CTM Radio Mix) (Nightcore Mix) (__Ag) [Main DJ],★ 6.43,175.0,2:56,1262,4.0,9.5,9.0,HD,aim + flow jumpscares
7,8,4172720,2006182,Hinatabi Bitter Sweets - Rin to Shite Saku Hana no Gotoku ~Hinabita edtion~ (Alvearia) [birb],★ 5.74,163.0,2:24,1098,4.0,8.0,8.3,HD,read
8,9,4174136,1863796,Fujisawa Yoshiaki - Tatakai (Sekiri) [destiny's Opal],★ 6.20,137.0,1:53,934,4.2,9.2,8.6,HD,flow alt & a bit of rhythm
9,10,818220,166000,Shuhei Kita - Sekai ga Kimi ni Deau made (F D Flourite) [Destiny],★ 6.77,195.0,3:30,1385,5.33,10.0,10.0,HR,boys aim (be careful with stream section)
10,11,4570045,2166240,Origami Angel - Doctor Whomst (Wispy) [Expert],★ 6.20,155.0,2:45,1016,6.76,10.0,10.0,HR,gimmick precision
11,12,2424768,1162388,EBIMAYO - GOODBOUNCE (Musync Edit) (Cubbby) [Another],★ 6.49,180.0,2:08,1252,5.46,10.0,10.0,HR,goodbounce
12,13,3242402,1587613,mafumafu feat. soraru - ROKI (AirinCat) [Insane.],★ 6.57,225.0,2:25,1234,3.8,10.2,9.38,DT,mafumafu
13,14,954703,257165,Amane - TWEEKER (TicClick) [Mikii's Insane],★ 6.76,247.5,2:17,1242,4.0,10.33,9.78,DT,high ar speed bursts
14,15,4021212,1939593,MANY THANKS! feat. Setsunan - Banka (ktgster) [Another],★ 6.46,174.0,1:18,597,4.0,10.0,9.78,DT,tjukas request
15,16,4200147,2017375,Akira Complex - STINGER MISSILE (Aeril) [Celine & taku's INSANE],★ 6.20,195.0,2:30,1217,4.0,9.87,9.78,DT,tech / aim control（编者注：原赛图已下架，使用替代谱面）
16,17,4499862,2138161,DJ SHARPNEL feat. Ichinose Ruru - Trauma Saimin Shoujo Satori! (Flask) [!!!!!!!!!],★ 6.51 (6.84),210.0,1:45,780,3.5,9.0,9.0,FM,dense mechanics
17,18,3322444,1626624,Hyadain - CRASH!! (Let's Do It) (Aranel) [CRASH!!],★ 5.50 (6.35),135.0,1:42,586,5.0,8.0,8.0,FM,kirby mix (aranel) antimod
18,19,1373482,648310,Dean Fujitoka - History Maker (TV Size) (fartownik) [Born to Make History],★ 6.00 (6.42),134.0,1:28,475,4.0,9.3,9.0,FM,what a way to end BLC3
19,20,4500683,2138526,kiruo - Yandere forces you to watch top 10 impossible football moments asmr (Stage my mommy) [KiruoMyMommy],★ 6.34 (6.83),150.25,1:15,261,5.0,9.2,9.6,F+,kisoi
20,21,3521550,1723067,Hanasaka Yui (CV : M.A.O) - Harumachi Clover (Mikelito069) [XD],★ 7.98 (9.79),142.0,0:28,163,5.6,8.5,3.0,F+,harumachi clover
21,22,4808858,2259659,kakichoco - Zan'ei (ilia) [Boy Lover Collab],★ 6.99 (7.48),180.0,4:14,1507,4.0,9.2,8.6,F+,BOY LOVER COLLAB
22,23,4266048,2009605,Para Dot. - Hyper banquet (Alvearia) [Extreme],★ 6.63,200.0,4:48,2226,4.0,9.4,9.0,TB,might be too easy
