,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,2838621,1367704,Amatsuki - Letters to me (Kirishima-) [Maaadbot's Extra],★ 6.16,190.0,3:40,1281,4.0,9.2,8.8,NM,generic aim consistency ft male singer
1,2,3798373,1335353,Metrik - We Got It (feat. Rothwell) (evth) [new 1.05x],★ 6.16,182.7,3:03,1787,4.1,9.5,8.5,NM,183bpm streams
2,3,3674243,1792895,"Suisougurashi - Ameagari, Natsu no Kyori. (alevi) [Ryoku]",★ 5.92,128.0,3:17,1394,4.4,9.2,9.0,NM,snap alt
3,4,4540987,2054627,Getty - B WiZ U (Cubby) [0pp x ohm's extra],★ 5.67,175.0,2:10,1145,4.0,9.4,8.5,NM,balanced tech
4,5,4035459,1949275,leon chang - popcorn castle (Wispy) [pishi's expert],★ 5.50,160.0,2:45,1505,4.7,9.0,8.0,NM,slider gimmick
5,6,2624044,1262456,Sta - Song for Sprites (KKipalt) [Master],★ 5.53,140.0,2:16,878,4.2,9.3,8.5,"HD; DA(circle_size=4.2,approach_rate=9.3)",flow alt w light-rhythm
6,7,4018779,1902232,Fujii Kaze - Matsuri (AirinCat) [Kyouren's Extravaganza],★ 5.00,97.0,3:42,1217,4.2,8.0,8.8,HD,ar8 overlap reading & awk aim
7,8,4131545,1988817,Bomb the Music Industry! - The First Time I Met Sanawon (olc) [Extra],★ 6.21,212.5,3:01,1329,5.2,10.0,10.0,HR,high-ish bpm awkward aim
8,9,3615469,1766245,TERRA - Hana Ranman -Flowers- (Sunazuka Akira) [sakura fubuki],★ 5.87,160.0,1:40,654,6.5,10.0,10.0,HR,precision aim control
9,10,4327903,2068483,doriko - Cat Food (Ixcors) [Caterwaul],★ 6.33,261.0,3:03,1597,3.6,10.13,9.31,DT,high ar speedy consistency
10,11,3524604,1724615,DIANA - Beethoven Virus (Orkay) [Insane],★ 6.29,234.0,2:23,1328,4.0,9.67,9.38,DT,stamina tapping
11,12,4732557,2230166,Is - Pee (feat. convex and ilia) (ilia) [In the balls],★ 5.19 (5.57),180.0,3:53,200,4.0,6.0,9.0,F+,spin
