,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,652234,287873,Alipio Martins - Piranha (Maffalda Reloaded Trap Mix) (Tarrasky) [BD's Gangsta],★ 6.32,171.0,3:36,1279,4.0,9.3,8.3,NM,PIRANHA!
1,2,4266007,2043998,seatrus - Hekikuu no Yakusoku ([Manu]) [The Promise of the Mediterranean Blue Sky],★ 6.42,188.0,1:54,1156,4.1,9.3,9.1,NM,multi-skillset streams
2,3,4125180,1924212,RADWIMPS - Hyperventilation (seros) [Agatsu's Expert],★ 6.08,122.0,4:03,1700,4.0,9.3,8.6,NM,snap
3,4,3588248,1753391,MYUKKE. - ViViTAL MONO (Laquarius) [ExTRA],★ 5.95,170.0,1:53,1043,4.0,9.4,8.5,NM,standard tech
4,5,4017108,1907639,Minstrel - Yotogibanashi no Kamikakushi (Luscent) [allein's Dromedary Extra],★ 6.50,240.0,1:43,1012,4.0,9.5,8.5,NM,speed mechanics banger
5,6,4105463,1977660,Shannon feat. GUMI - Wandering Late at Night (Ryuusei Aika) [_| __/ == \__ |_],★ 4.98,110.0,2:44,772,4.0,7.5,7.5,NM,fun
6,7,3762761,1552594,KikuoHana - Nagaiki no Kamisama (Zekk) [Kowari's Expert],★ 6.05,240.0,2:42,1067,3.8,9.3,8.5,HD,ilia density aim
7,8,4330212,2069535,Set It Off - Why Do I (feat. Hatsune Miku) (Toro Inoue) [Emerald Ages],★ 5.03,100.0,2:33,942,4.3,8.0,8.6,HD,Emerald Ages
8,9,2408391,1153984,isubokuro - Aun no Beats (Beren) [Answer],★ 5.93,206.0,2:47,947,4.0,9.3,8.5,HD,swing alt
9,10,2158036,1032027,BUTAOTOME - Kurukuru Tsukai (Entry) [Extra],★ 6.28,208.0,2:46,1131,5.46,10.0,10.0,HR,mechanics
10,11,2404822,1152177,Sound Souler - Bubble Flower (hypercyte) [Expert],★ 6.19,192.0,2:18,877,6.5,10.0,10.0,HR,miscellaneous precision
11,12,3683961,1770075,KAH - Victory Sense (too) [Feiri's Extra],★ 5.75,155.0,2:19,1081,5.2,10.0,10.0,HR,alt tech
12,13,2735237,1320333,supercell feat. Hatsune Miku - World is Mine (celerih) [Insane],★ 6.46,247.5,2:43,1146,3.7,10.2,9.51,DT,hatsune miku
13,14,1814067,867825,ak+q & Redeilia - Enigma Helix (Icekalt) [Celeslashed's Hard],★ 6.02,258.0,1:49,1045,3.8,9.67,8.44,DT,speed tech control
14,15,4519494,2145764,L'Arc-en-Ciel - READY STEADY GO (alden) [GO!!],★ 6.34,216.0,2:24,1711,3.5,9.8,9.78,DT,stamina
15,16,2858862,1352008,Years & Years - Worship (vivicat) [Puvn's Insane],★ 5.91,177.0,2:19,967,3.0,10.33,9.44,DT,high ar control
16,17,4343234,2074879,NeLiME - Snapdragon (Elzix) [CJ & -jordan-'s Extra],★ 5.71 (6.01),160.0,2:08,1133,3.2,9.0,8.0,FM,flow
17,18,4478114,2091789,Aoi - Quartzshaper (mintIceCream_) [Wispy's Expert],★ 5.96 (6.28),188.0,1:41,919,3.5,9.4,8.7,FM,mech tech
18,19,4778524,2247359,ritanj - GO! KITTY! GO! (Stupid Femboy) [meow :3],★ 5.51 (8.08),135.0,1:00,386,8.0,8.0,8.0,F+,small circle
19,20,4778792,2247467,femtanyl - KATAMARI (Oceanboy98) [BOY HEAVEN 2024],★ 7.16 (7.90),170.0,2:21,966,4.2,7.9,7.0,F+,2b
20,21,4544728,2155927,King Gizzard & The Lizard Wizard - Big Fig Wasp (Gordon) [STUNG TO DEATH],★ 6.64,193.0,4:54,2165,4.0,9.6,9.0,TB,robot stop
