,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3257674,1594928,After the Rain - Moua (nemidnight) [Expert],★ 5.90,184.0,2:43,1038,4.0,9.2,9.0,NM,aim with some streams (also boys)
1,2,4427465,1610241,Ice - Amber Wishes (Deemo edit) (Astronic) [-Tynamo's Extra],★ 5.96,195.0,2:49,1746,3.8,9.2,9.0,NM,flow streams
2,3,4099189,1975119,ATARASHII GAKKO! - OTONABLUE (dakiwii) [Otonaburu],★ 5.55,130.0,2:59,1053,4.0,9.2,9.0,NM,snap alt
3,4,1631406,732280,aran - VOLT (USAO Remix) (C00L) [Plaudible's Extra],★ 5.52,184.0,3:10,1477,4.0,9.2,8.4,NM,Shogeki | Kawada Mami - Hishoku no Sora (TV Size) (general tech)
4,5,4601853,2178870,katagiri - Breakcore Kakumei Zen'ya (Astronic) [Revolution (220bpm)],★ 6.03,220.0,3:15,1633,3.8,9.5,9.0,NM,220bpm tapping
5,6,4377136,2055535,Sephid - Thunderstrike 1988 (fieryrage) [Gordient's Extra],★ 5.68,190.0,3:03,1638,3.5,9.2,8.2,HD,mech tech
6,7,154988,50429,DJ Sharpnel - IVALTEK (happy30) [HappyMiX],★ 5.11,208.1,2:19,910,4.0,8.0,7.0,HD,literally ivaltek (density wide aim ar8)
7,8,1640752,769560,Noriko Mitose - Duel Alternatives (Daoski) [JeZag's Extra],★ 5.88,175.0,2:06,830,5.2,10.0,10.0,HR,light-tech + aim and bursts
8,9,2096750,1001625,VINXIS - Facade (Niva) [Insane],★ 5.74,198.0,2:43,913,6.5,10.0,10.0,HR,precision mechanics
9,10,1912368,915682,Afilia Saga - Neptune*Sagashite (Hanasaka Yui) [New Game!!],★ 6.08,217.5,2:58,1174,4.0,9.87,9.78,DT,banger dt aim
10,11,796046,359749,REDALiCE - ALiVE (Natsu) [Insane],★ 5.96,255.0,1:32,897,4.0,10.0,9.78,DT,speed just speed
11,12,2540452,1221245,BROCKHAMPTON - GINGER (Aistre) [PULL OUT YOUR MIND],★ 5.46,195.0,2:21,976,5.0,10.07,9.78,DT,high ar control
12,13,3355013,1643695,*wakadori - Fuzzy-Navel (-Sylvari) [Cocktail],★ 5.58 (5.85),141.0,2:08,982,2.8,9.0,8.5,FM,big circle flow alt + rhythm intuition
13,14,4195400,2015483,Silver Forest - Tsurupettan (tadahitotsu) [Lunatic],★ 5.18 (5.73),180.0,2:24,777,5.0,8.0,8.0,FM,old-styled antimod ft. overlaps and some aim
14,15,4760472,2239913,jim1981vids - Gay Boy Song (ilia) [take it up],★ 5.73 (7.31),200.0,0:10,89,7.0,10.0,10.0,F+,gay boy song
15,16,3332766,1632739,PolyphonicBranch - Taiyou to Tsuki no Rondo (Heroine) [Extra feat. Lasse],★ 6.01,172.0,4:37,1740,4.0,9.2,8.8,TB,be careful with the cuts (tiebreaker)
