,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3902810,1893908,KISIDA KYODAN & THE AKEBOSI ROCKETS - Fall of Fall (Nilou) [Extra],★ 6.48,196.0,3:11,1213,4.5,9.4,9.0,NM,aim
1,2,4519119,2145586,Noah - Primal scream ([Crz]Makii) [Origin],★ 6.46,184.0,3:10,1929,4.0,9.6,9.2,NM,flow streams and stamina
2,3,3106044,1517231,PulmoLight - High Time Parade (melwoine) [SC21],★ 6.03,145.0,2:14,1136,4.0,9.5,9.0,NM,alt
3,4,3081700,1504240,Culprate & Joe Ford - Gaucho (JeZag) [just PLEASE don't use those stupid ass reverse sliders],★ 5.96,172.0,2:57,1446,4.2,9.2,8.2,NM,literally gaucho
4,5,3287485,1610082,Project Gabbangelion - Lolit Speed (Cut Ver.) (alden) [crack collab],★ 6.65,235.07,2:39,1522,4.0,9.6,8.5,NM,haven't seen this one in a while
5,6,3286929,1609793,XXVeil - Midnight Butlers (Ryuusei Aika) [Witching Hour],★ 5.18,128.0,3:17,1081,4.0,6.0,8.0,NM,reading
6,7,3434682,1681275,BUTAOTOME - Shinsan Game (Deca) [Elvis' Extra],★ 6.40,240.0,3:31,1417,4.0,9.3,8.3,HD,more ilia density aim
7,8,4001727,1936148,Falcom Sound Team jdk - BEYOND THE BEGINNING (Phynta) [ORIGIN],★ 5.40,164.0,2:21,874,4.0,8.2,8.0,HD,low bpm ar8 aimflow
8,9,2501680,1201081,Rin - Eientewi set 17 ~ Eastern Youkai Beauty (Luminiscental) [Lunatic],★ 5.77,138.0,2:35,1148,4.0,9.0,8.0,HD,alty rhythm
9,10,4128475,1987434,bungeitengoku - glorious runaway (Weoweet) [escapism],★ 6.45,180.0,3:08,1183,5.2,10.0,10.0,HR,aim
10,11,4244078,2029889,Troye Sivan - Rush (Shmiklak) [Skubi's Extra Hot],★ 6.03,126.0,2:16,813,7.15,10.0,10.0,HR,>cs7 precision alt
11,12,4407543,2055029,marshall4 - the tyrannical reign of lord foog the 2st (wafer) [kataryn's SOOOO extra... :rolling_eyes:],★ 6.11,195.0,2:39,1164,5.2,10.0,10.0,HR,wafer brainrot
12,13,3068003,1496662,BUMP OF CHICKEN - Shinsekai (Rtyzen) [Daze],★ 6.49,244.4,2:24,1102,4.0,10.2,9.78,DT,anime dt1
13,14,4257342,2040705,ALiCE'S EMOTiON - Voice (nanoya) [Collab Lunatic],★ 6.61,247.5,2:23,1199,3.8,9.67,9.44,DT,burst consistency
14,15,99997,29859,Chris Brown Feat. Busta Rhymes & Lil Wayne - Look At Me Now (Mafiamaster) [Insane],★ 6.33,219.0,1:43,914,4.0,9.67,8.44,DT,yeah
15,16,3169067,1550821,tokiwa - La rose jaune (feat. Sennzai) (Shrukaghn) [fleurir],★ 5.87,300.0,2:10,1059,4.0,10.2,9.78,DT,kisoi request
16,17,2595876,1125370,Sheena Ringo - Marunouchi Sadistic (neetskills remix) (-Mikan) [toybot's Extra],★ 5.97 (6.31),112.0,3:04,1274,3.6,9.4,8.3,FM,mech tech
17,18,2398960,1148992,"Katakiri Rekka - own justice, once more (Dada) [Vintage]",★ 5.75 (6.43),187.0,3:56,1468,5.0,8.0,8.0,FM,classic antimod
18,19,4787241,2250991,goreshit - loli fantasy (hlv) [dance],★ 7.77 (8.15),231.0,2:28,1210,4.0,9.2,9.0,F+,HLV map :WTF:
19,20,4786988,2250885,"Asuka Sakai / Yu Miyake, Katamari Samba Company - The Last Samba (tjukas) [Boy lover cup 3]",★ 4.38 (5.38),145.0,0:58,216,5.0,9.2,9.2,F+,catch the beaters -tjukas
20,21,4758699,2239288,"$k_Hwa$ - What is rational is real, what is real is rational (Yumerios) [Hegelian Reasoning]",★ 6.54,180.0,5:29,2462,4.0,9.5,9.3,TB,cool map
