,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,2211226,1017483,sana - Hisui no Machi (Firika) [Remapper's Extra],★ 5.37,180.0,3:20,1163,4.0,9.0,8.0,NM,awkward aim
1,2,4260076,1511463,Children Of Bodom - If You Want Peace... Prepare for War (The Cube) [headphonewearer's Insane],★ 5.22,170.0,3:49,1754,4.0,9.0,8.3,NM,切串+节奏
2,3,2097324,1001822,lapix - Kill The Beat (greenhue) [Canderos' Insane],★ 4.82,120.0,1:30,646,4.0,9.0,8.0,NM,alt（aim）
3,4,2918191,1340339,Feryquitous - Arcahv (Seros) [too's Future],★ 5.24,191.0,2:29,873,4.0,9.0,8.0,NM,tech（手控）
4,5,4226519,1830754,The Flashbulb - Lawn Wake IV (Black) (BR41N) [Insane (nerf)],★ 5.29,217.0,2:07,1105,3.0,9.0,7.8,NM,高速切
5,6,2022008,924508,sasakure.UK - Little Cry of The Abyss feat. Toki Asako (Shurelia) [AncuL's Insane],★ 4.37,156.0,3:59,1161,4.3,9.0,8.5,NM,rhythm
6,7,2470722,1180982,"ShinRa-Bansho - Pink Kurage to, Sotto, Kiss o Shita. (UberFazz) [Lunatic.]",★ 5.38,194.0,3:39,1372,3.8,9.0,8.5,HD,综合
7,8,3419840,1674128,monet - Shukufuku Sareta Machi (seros) [Furenzoku Sonzai],★ 4.90,96.0,2:02,651,4.2,8.3,7.6,HD,低AR+slider aim
8,9,4093558,1939339,ZUTOMAYO - Kira Killer (feat. Mori Calliope) (Agllius) [Mocaotic's Insane],★ 4.79,142.0,3:48,1508,4.0,9.0,8.0,HD,alt（light tech）
9,10,3969715,1876775,nao feat. isui - Ukigumo (Sarawatlism) [pnky's Insane],★ 5.34,205.0,3:31,1122,5.2,10.0,10.0,HR,重复横跳（aim）
10,11,4572221,2167157,Silver Forest - Todokanai Eien no Kyori (EveLiya) [ConsumerOfBean's hyper(CS5 Edit)],★ 4.61,168.0,2:32,1115,6.5,10.0,9.8,HR,小圈（flow）
11,12,3228526,1575193,seatrus - V!rtuaresort (-Atri-) [LeCandy+Atri's Insane],★ 4.89,160.0,2:00,824,5.2,10.0,9.8,HR,light tech
12,13,359869,144367,DECO*27 - Kisou Honnou feat. Yuuki Aoi (Kibbleru) [Insane],★ 5.49,217.5,2:15,931,4.0,9.67,9.11,DT,常规
13,14,3910959,1870348,At the Garret - Hishou (Heratikus) [Hard],★ 5.44,243.0,2:33,1161,3.5,9.67,9.11,DT,高速
14,15,3947486,1823470,Co shu Nie - undress me (Pepekcz) [Hinae's Hard],★ 5.41,226.5,1:54,865,3.7,9.67,8.91,DT,手控aim
15,16,4545402,2154642,Ju Mao Shao Diao Yu - Shan Cha Hua Du Bu Dong Bai Mei Gui (Cut Ver.) ([Lily_White]) [Distant],★ 4.81,104.32,1:55,573,4.0,9.67,8.44,DT,DT gimmick
16,17,4567999,2165412,Kitsune^2 - Free (NatsuRin) [Collab Insane],★ 4.95 (5.19),190.0,2:30,918,3.8,9.0,8.0,FM,stamina
17,18,2691754,1280207,Sta & Feryquitous - 2 Minutes Euphoria (Ryuusei Aika) [Pata-Mon's Insane],★ 4.57 (5.22),170.0,2:40,949,5.0,8.0,7.0,FM,antimod
18,19,4503685,1962477,SaMZIng/HJLL - Tidal (PEALEERD_TAK) [033's Extra],★ 4.40 (4.62),124.0,2:51,928,3.0,9.0,6.5,FM,大圈
19,20,1922594,914120,A Himitsu - Lost Within (Wezeh) [Lonely],★ 5.53,180.0,5:23,1735,4.2,9.3,8.7,TB,当心中途走路睡着
