,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,2335100,1117851,AliA - utopia (Akitoshi) [Feelings],★ 6.51,190.0,4:12,1546,4.0,9.5,9.0,NM,
1,2,1726994,824205,positive MAD-crew - Mynarco (FrenZ396) [Withdrawals],★ 6.43,181.0,1:44,844,4.0,9.6,9.3,NM,
2,3,966034,450272,Perfume - Daijobanai (Leminine) [Expert],★ 6.15,128.0,2:48,1261,4.0,9.7,9.3,NM,
3,4,3319095,1625682,LiSA - Gurenge feat. Un3h [ dj-Jo Remix ] TV Size (Sajinn) [Destiny],★ 5.98,135.0,1:23,633,4.2,9.4,8.7,NM,
4,5,3779970,1817644,KARUT - Glitch Street (Shurelia) [Anxient's Extra],★ 6.27,160.0,1:39,738,5.2,10.0,10.0,HR,
5,6,62269,17450,Tachibana Miya - Miya to Tengoku to Jigoku (AngelHoney) [Hentai],★ 6.30,195.0,1:41,808,5.2,10.0,10.0,HR,
6,7,3188917,1492550,onoken - ZADAMGA (Down) [Luscent's Extra],★ 6.42,180.0,1:52,846,5.2,10.0,10.0,HR,
7,8,3711613,1809604,Kotoha - Cat Loving (Kotoha) [nya~ (>w<)],★ 6.59,163.0,1:48,597,6.5,10.0,10.0,HR,
8,9,3808282,1853381,Lil Nas X - STAR WALKIN' (Sylas) [MOONLIGHT],★ 6.50,213.0,1:47,771,4.0,10.47,9.98,DT,
9,10,146299,47105,fripSide - only my railgun -Euro Beat Charger Mix- (yongtw123) [Insane],★ 6.59,232.5,1:11,702,4.0,9.67,9.11,DT,
10,11,77231,22374,Frederic Chopin - Etude Op. 10-4 (lepidopodus) [Insane],★ 6.57,250.5,1:17,555,4.0,9.67,9.11,DT,
