,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,1402392,662526,Yousei Teikoku - Hades: The rise (Delis) [Hardest],★ 7.34,210.0,4:00,1709,4.0,10.0,9.0,NM,
1,2,658127,292301,xi - Blue Zenith (Asphyxia) [FOUR DIMENSIONS],★ 7.23,200.0,4:02,2402,4.0,9.6,9.0,NM,
2,3,2903462,1408161,Johnny Cake - Last Surprise (Johnny Cake Eurobeat Remix) (-Kirigiri) [JUSTICE MONSTER],★ 7.02,150.0,3:27,1876,4.0,9.6,9.4,NM,
3,4,2500831,1200888,DGTVL & JVMIE - High When I'm Sober (Au5 Remix) (NeilPerry) [Neil x Ameth's Conflux],★ 6.65,153.0,3:32,1430,4.0,9.5,8.0,NM,
4,5,3515039,1719977,Holo Bass - Power Stance (Lunicia) [MAXIMUM LIMIT OVERDRIVE -- FINAL BOSS -- CLAIM YOUR VENGEANCE],★ 6.93,172.0,3:30,1574,4.0,9.8,9.0,NM,
5,6,4305312,2059823,YOASOBI - Idol (Imaginary Reality Remix) (Wavewy) [Dream!],★ 7.52,253.0,2:03,1319,3.0,9.8,9.2,NM,
6,7,66246,10406,Basshunter - Ievan Polkka Trance Remix (Teara) [BeuKirby],★ 6.00,140.0,3:07,991,5.0,8.0,8.0,NM,
7,8,2777412,1340724,ViViD - Hikari (corrinee) [Living World],★ 7.02,210.0,3:58,1546,4.0,9.5,8.5,HD,
8,9,2868857,708641,senya - Zetsubou no Fuchi (rollpan) [CollaB],★ 6.10,174.0,2:51,1168,4.0,8.0,8.0,HD,
9,10,1249815,590538,Sota Fujimori - polygon (Extended) (Naidaaka) [owo],★ 6.88,174.0,3:16,1883,4.2,9.7,8.2,HD,
10,11,3930382,1906088,polysha - ILL-STARRED Diver (acnozei) [Abyssal],★ 6.77,185.0,1:45,935,4.0,9.5,9.0,HD,
11,12,1415526,669232,EGOIST - Lovely Icecream Princess Sweetie (Deramok) [Addiction],★ 6.59,242.0,3:50,1578,4.0,9.0,8.0,HD,
12,13,1793422,858075,Reol - Saisaki (cRyo[iceeicee]) [Extra],★ 6.96,105.0,3:30,1665,5.46,10.0,10.0,HR,
13,14,3508372,1716853,SMiLE.dk - butterfly (UPSWING MIX) (Firiiu) [butterfly],★ 7.11,170.0,1:26,673,6.5,10.0,10.0,HR,
14,15,3156883,1544463,Zekk - Freefall (Fursum) [Dive],★ 6.84,180.0,2:08,1129,5.46,10.0,10.0,HR,
15,16,3143835,1537583,Zektbach - Turii ~Panta rhei~ (Yooh) [Malchut],★ 6.78,148.0,2:02,667,5.85,10.0,10.0,HR,
16,17,3220937,1577442,Phoenix Legend - Shan He Tu (neveare) [The Highest Riverside],★ 6.91,152.0,3:20,1472,5.2,10.0,10.0,HR,
17,18,3940785,1910535,A-SOUL - Chu Xi (BrokenShine) [Together],★ 6.79,208.5,2:17,1120,4.2,10.47,10.18,DT,
18,19,3695707,1738121,Rigel Theatre - ECLIPSE (Reywateil) [Kowari's Insane],★ 6.89,219.0,2:15,1454,3.0,10.0,9.78,DT,
19,20,2900102,1390922,Serenity - Lionheart (AdeAAa) [Insane],★ 7.04,270.0,2:27,1427,3.6,10.07,9.64,DT,
20,21,3872983,1881172,Gumyu - Party*Night (Eurobeat Mix) (Garden) [Insane],★ 7.29,240.0,1:38,1050,4.0,9.67,9.78,DT,
21,22,1532376,725769,"Rin - Lunatic set 09 ~ Faraway 380,000-Kilometer Voyage (Mentai) [Embarking on a Lunar Voyage]",★ 7.47,192.0,4:01,1826,4.2,10.33,9.78,DT,
22,23,57382,11558,Nightcore - Ravers Fantasy (LoweH) [Lizbeth's Fantasy],★ 7.15,253.27,1:55,826,4.0,9.0,9.11,DT,
23,24,4835167,2270157,Xu Wei - Ceng Jing De Ni (X Light) [JLC S3 Round3 Custom NC],★ 6.96,142.5,2:33,1295,4.2,10.2,9.91,NC,
24,25,1709121,753518,NOA - Monsters (Shifu Touka) [<I see your pain>],★ 7.91 (8.44),84.0,3:17,1373,4.0,10.0,9.0,F+,
25,26,2496646,991300,Fleshgod Apocalypse - The Deceit (Mazzerin) [Agony],★ 8.01 (8.15),250.0,5:06,3211,3.0,10.0,10.0,F+,
26,27,3481007,1703647,ReeK - Sweets Rave Party (ft. L4hee) (mitsukai) [KAWAII RAVE COLLAB],★ 7.90 (8.29),180.0,4:23,2323,3.8,9.8,9.0,F+,
27,28,4083307,1968682,ReeK - Galaxy Collision (Tycani) [Comet M1KU: Towards the Event Horizon],★ 8.14 (8.86),200.0,4:18,2629,4.0,10.0,9.0,F+,
28,29,3135149,1533028,Camellia - Flamewall (Sotarks) [ETERNAL SACRED FIRE],★ 10.16,300.0,6:23,3387,4.3,10.0,10.0,TB,
29,30,4032016,1948258,Kou! - High Speed Particle Collider-beam Accelerator (9ami) [:: Particle Accelerated Tactical System //.collab ::],★ 8.41,216.0,6:57,4145,3.8,9.8,9.5,TB,
30,31,1474888,696229,KASAI HARCORES - Cycle Hit (Akali) [CYCLE SHIT],★ 8.60,175.0,5:12,2829,4.0,10.0,9.8,TB,
