,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3263082,1597778,LiSA - confidence driver (SkyFlame) [Assurance],★ 6.62,190.0,3:16,1260,4.2,9.6,9.2,NM,
1,2,3650832,1782703,Xi - Youyoumu ~ Run or Dash (GYGY) [Extra],★ 6.38,180.0,2:16,1476,4.0,9.5,9.0,NM,
2,3,4351786,2078299,frederic - Junkie (elicz1) [Addiction],★ 6.10,150.0,3:20,1524,3.8,9.4,9.0,NM,
3,4,1839581,879673,Culprate & Skope - Blowfish (EijiKuinbii) [Sharu x Eiji],★ 5.88,172.0,3:43,1452,4.0,9.6,9.2,NM,
4,5,3129534,1530005,Diceros Bicornis - ReviveR (xidorn) [the third],★ 6.61,238.0,1:58,1346,3.6,9.6,8.8,NM,
5,6,2935152,1425377,hitorie - Imperfection (Faito) [Estra],★ 5.08,224.0,3:00,1073,4.0,8.0,9.0,NM,
6,7,1819587,869649,455-38B - G e n g a o z o - f o o n (ktgster) [Extra],★ 6.07,153.0,2:56,1924,5.0,9.2,9.0,NM,
7,8,2588481,1245222,Yorushika - Deep Indigo (Ryuusei Aika) [Delis & Mirash Collab Extra],★ 6.52,210.0,3:30,1291,4.0,9.5,9.0,HD,
8,9,3183124,1558276,ShinRa-Bansho - Subarashiki Hani World (Kurashina Asuka) [Sentience],★ 5.54,181.0,3:19,1185,4.0,8.0,9.0,HD,
9,10,3361539,1630240,Tsukuyomi - Absolute zero (Sagu) [Mayu's Extra],★ 5.84,145.0,3:32,1463,3.8,9.3,8.6,HD,
10,11,3276740,1604642,F Rabbeat - Be With U (Altai) [Don't Just Stand There...],★ 6.08,175.0,1:54,882,4.0,9.3,8.5,HD,
11,12,2585154,1243487,Wakeshima Kanon - the BEAST can't BE STOpped (Gelidium) [Frail],★ 6.53,200.0,3:08,1146,5.2,10.0,10.0,HR,
12,13,3221323,1403412,Expander - Honey Trap (Shyotamaze) [Voice's Another],★ 6.11,160.0,1:58,914,6.5,10.0,10.0,HR,
13,14,2937682,1425901,ZUTOMAYO - Haze Haseru Hateru made (Petal) [AyluscenathanMyMommy's Collab Extra],★ 5.87,136.0,3:41,1484,5.2,10.0,10.0,HR,
14,15,904351,417655,Virtual Riot feat. Varia - Edge (-Tochi) [Insane],★ 5.92,172.0,2:03,945,5.2,10.0,10.0,HR,
15,16,3728099,1817184,XX:me - Torikago (rollpan) [Insane],★ 6.65,232.5,2:17,1061,4.0,10.33,9.78,DT,
16,17,2613166,1257575,Lime - Noblesse Gloria (yaspo) [Noblesse],★ 6.46,228.0,2:31,1408,3.8,9.67,9.78,DT,
17,18,3167236,1549881,Hanazono Mei - Kurenai Fubuki (Nao Tomori) [Collab Insane],★ 6.39,255.0,2:33,1312,4.0,9.87,9.44,DT,
18,19,2676185,1289138,PUP - See You At Your Funeral (xbopost) [EX],★ 6.05,199.5,2:22,1144,4.1,9.8,9.38,DT,
19,20,1680868,800640,Camellia - DON'T GIVE A FUCK (z1085684963) [unhappy],★ 6.54,128.0,4:59,2111,4.2,9.5,8.5,TB,
