,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3299389,1616036,TRUE - Storyteller (captin1) [Extra],★ 6.77,192.0,4:05,1580,4.2,9.6,9.2,NM,
1,2,3276724,1604632,Noah - Primal scream (wakaba) [ahh],★ 6.59,184.0,2:53,1735,4.0,9.6,9.0,NM,
2,3,4341537,2074153,petit milady - Koi wa Milk Tea (Petal) [Sentimental],★ 6.21,122.0,3:12,1343,4.0,9.4,8.6,NM,
3,4,3935217,1804022,void (Mournfinale) feat. Hoshikuma Minami - Testify ([ Drop ]) [Knowledge's Eternal],★ 6.68,178.0,2:38,1499,4.0,9.5,9.0,NM,
4,5,4018748,1879174,Shoebill - top40kore (Silverboxer) [Tourney Edit],★ 6.76,246.0,2:41,1541,3.5,9.5,9.0,NM,
5,6,2798616,1351876,Maison book girl - snow irony_ (newton-) [wakaranai_],★ 4.98,170.0,4:03,1261,4.0,6.0,8.0,NM,
6,7,2719327,1312076,II-L - SPUTNIK-3 (DeviousPanda) [Expert],★ 6.05,170.0,2:49,1445,3.9,9.0,8.3,NM,
7,8,2152441,1029349,04 Limited Sazabys - Squall (Gillstar) [Expert],★ 6.73,200.0,2:59,1232,4.0,9.6,9.0,HD,
8,9,4058452,1796464,Kairiki bear feat. Hatsune Miku - BUG (sukii) [Lost Extra],★ 5.73,186.0,2:33,951,4.5,8.0,8.0,HD,
9,10,4065519,1961630,Ryokuoushoku Shakai - Michi o Yuke (mnyui) [Forever],★ 6.00,150.0,3:28,1451,4.0,9.6,9.0,HD,
10,11,3742247,1823759,Feryquitous feat. Sennzai - Rugie (Sagu) [Tourney ver.],★ 6.16,191.0,3:20,1603,4.0,9.5,8.5,HD,
11,12,2549390,1204383,meganeko - Feral (osu! edit) (Respirte) [Nowa's Extra],★ 5.92,160.0,2:49,1605,4.0,9.2,9.0,HD,
12,13,4386583,2092549,kessoku band - Hitoribocchi Tokyo (X Light) [BOCCHI TOKYO],★ 6.78,192.0,3:24,1602,5.2,10.0,10.0,HR,
13,14,3037074,1480553,"Katy Perry - California Gurls feat. Snoop Dogg (The Honeysticks) [Warm, Wet & Wild]",★ 6.29,125.0,3:44,1237,6.5,10.0,10.0,HR,
14,15,4113805,1823470,Co shu Nie - undress me (Pepekcz) [Birdsuit's Extra],★ 6.05,151.0,2:52,1119,4.94,10.0,10.0,HR,
15,16,2610929,1216594,Virtual Riot - Prove Them Wrong (C00L) [Reform's Extra],★ 6.21,174.0,2:25,1154,5.2,10.0,10.0,HR,
16,17,3137593,1514137,xi - Blue Zenith (HyperPigeon) [Careless' Expert],★ 6.49,200.0,4:02,2451,5.2,10.0,10.0,HR,
17,18,3856658,1709438,Maduk - Ghost Assassin (feat. Veela) (Nymphe) [Aistre's Insane],★ 6.88,264.0,1:54,960,4.0,10.2,9.78,DT,
18,19,3094637,1511294,BlackY feat. Risa Yuzuki - Furin Kagerou (Niva) [Monsoon],★ 6.73,228.0,2:50,1522,4.0,10.0,9.44,DT,
19,20,3276823,1604680,felys feat. Natsukawa Yoko - Celsus (LONG VERSION) (Elcheer) [Insane],★ 6.65,247.5,2:27,1229,4.0,9.87,9.78,DT,
20,21,3171574,1549675,TAKU INOUE & Hoshimachi Suisei - 3-ji 12-fun (Mir) [Zelq's Insane],★ 6.03,133.5,1:51,593,4.0,10.0,9.44,DT,
21,22,3486007,1697454,KOTOKO - agony (Apo11o) [Collab Hard],★ 4.76,198.0,2:11,792,7.5,8.67,8.44,DT,
22,23,4386727,2092570,D-D-Dice vs. siromaru - Catch the Glory (yf_bmp) [Beyond the Champion],★ 6.74,210.0,6:08,3662,3.8,9.5,8.5,TB,
