,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3682179,1796301,CIEL - Mado o Akete (Kotoha) [Suou's Expert],★ 5.92,195.0,3:18,1243,4.0,9.2,8.5,NM,
1,2,4241682,1837608,Twilight Force - Dawn of the Dragonstar (nebuwua) [Extra Collab],★ 5.45,175.0,3:29,2025,4.0,9.0,8.5,NM,
2,3,2946166,1431222,POLKADOT STINGRAY - SHAKE! SHAKE! (Shizuku Kariuta ver.) (Flake) [EXTRA!],★ 5.63,133.0,3:05,1369,4.2,9.4,9.0,NM,
3,4,2064271,986781,PSYQUI - Don't you want me feat. Such (Tommy Phelps) [Futash],★ 5.54,152.0,2:43,1069,4.5,9.4,9.0,NM,
4,5,2067426,972053,"benny blanco, Halsey & Khalid - Eastside (tomadoi) [Bearizm's Expert]",★ 5.54,90.0,2:30,758,3.6,9.2,8.6,HD,
5,6,2946442,1431375,ALiCE'S EMOTiON - Dark Flight Dreamer (Feiri) [Lunatic],★ 5.24,189.0,2:55,1206,4.0,8.4,7.0,HD,
6,7,756508,342242,CHiCO with HoneyWorks - Pride Kakumei (monstrata) [Darkness],★ 5.70,185.0,3:39,1362,5.2,10.0,10.0,HR,
7,8,1863256,891348,HyuN - Guitian (ScubDomino) [Insane],★ 5.45,165.0,2:14,711,6.5,10.0,10.0,HR,
8,9,2911393,1412334,"Kugimiya Rie, Horie Yui, Kitamura Eri - Orange (Yuuma) [Bittersweet]",★ 5.89,210.0,2:56,1212,4.0,9.87,9.78,DT,
9,10,3326709,1621874,KINEMA106 - N.M.W (Mordred) [HARD],★ 5.77,210.0,2:01,1021,3.5,9.67,8.44,DT,
