,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3735935,1820670,Kano - Daisy Blue (knowledgeking) [Innocent],★ 6.15,184.0,3:51,1234,4.0,9.5,9.0,NM,
1,2,4023006,1944586,N.M.S.T. - Snowflakes ([Jameson]) [Wintry],★ 5.93,175.0,2:00,1107,3.8,9.2,9.0,NM,
2,3,3153693,1542855,Hatsuki Yura - Halloween of the Dead 2 (Elayue) [Happy Halloween],★ 5.63,138.0,3:41,1673,4.0,9.4,9.0,NM,
3,4,3868452,1871929,Reku Mochizuki - VEZZELiX (Chaoslitz) [MARCOBROLO'S EXTRA],★ 5.93,190.0,1:50,1001,4.0,9.4,8.2,NM,
4,5,4050215,1955528,"Kobaryo - The Lightning Sword (The Fart Lord) [Thunderfury, Blessed Blade of the Windseeker]",★ 6.42,222.0,3:23,2020,3.5,9.6,9.0,NM,
5,6,3711612,1809604,Kotoha - Cat Loving (Kotoha) [bongo's Insane],★ 4.80,163.0,1:54,588,4.0,7.0,8.0,NM,
6,7,3514308,1719635,ShinRa-Bansho - Watashi Kenshi (Coeminals) [Absolutivity],★ 6.03,198.0,3:03,1120,4.0,9.2,8.8,HD,
7,8,3333126,1604477,Various Artists - Netsuretsu Kangei Wonderland (Mirash) [PandaHero's Extra],★ 5.25,180.0,2:46,810,4.0,8.0,7.0,HD,
8,9,4099189,1975119,ATARASHII GAKKO! - OTONABLUE (dakiwii) [Otonaburu],★ 5.55,130.0,2:59,1053,4.0,9.2,9.0,HD,
9,10,2945758,1377324,Utsu-P - Imperfect Animals (kuyusu) [Yoko's Extra],★ 5.75,170.0,3:31,1629,4.0,9.4,8.7,HD,
10,11,3274114,1603293,DIALOGUE+ - Hajimete no Kakumei! (Sekai) [No Dap's Extra!],★ 5.90,187.0,3:46,1408,5.2,10.0,10.0,HR,
11,12,3279103,1602507,Aiobahn - Towa no Utage (w/ YUC'e) [TANUKI Remix] (AJT) [Another],★ 5.64,170.0,2:42,774,6.5,10.0,10.0,HR,
12,13,3524063,1718667,Eve - Dramaturgy (elicz1) [Zelq's Expert],★ 5.50,149.0,3:35,1374,5.46,10.0,10.0,HR,
13,14,3759058,1795327,Srav3R - Hereafter (feat. shully) (xLolicore-) [Anxient's Extra],★ 6.12,175.0,3:08,1532,5.2,10.0,10.0,HR,
14,15,2646064,1273378,Sena Wataru feat. sana - Hitori Tabi (Smug Nanachi) [Solo Trip],★ 6.15,210.0,3:04,1186,4.0,9.87,9.44,DT,
15,16,3796883,1848327,Ts Mejasi - Zorica (Sped up ver.) (mizto) [KIT S1 edit],★ 6.03,231.0,1:51,875,3.8,9.93,9.11,DT,
16,17,4255084,1589771,Nagase Mana (CV: Sayaka Kanda) - First Step (Ripnight225) [Collab Insane],★ 5.85,334.5,2:09,1066,4.0,10.33,9.78,DT,
17,18,4168869,2004626,Soleily - Labyrinth (Chris Jasorka) [DT13],★ 5.97,262.5,2:11,1204,3.2,9.67,8.91,DT,
18,19,1478218,697895,Meramipop - Secret Desire - Dyes Remix - (Skystar) [Irregular],★ 6.20,174.0,5:33,2500,4.0,9.5,8.5,TB,
