,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3691280,1800495,"Ami - Sekai, Hoshi to Sora to Michi to (Shurelia) [Grand Adventure]",★ 5.67,176.0,4:24,1498,4.2,9.2,8.8,NM,
1,2,4151178,1995345,DECO*27 - Rabbit Hole feat. Hatsune Miku (NekoNekzy) [Usagi pyon!],★ 5.40,173.0,2:37,1189,4.2,9.4,8.0,NM,
2,3,3339805,1629837,kurokumo - God-ish (Nelliel) [Flake's Expert-ish],★ 5.32,142.0,3:13,1265,4.4,9.2,8.4,NM,
3,4,3478971,1701204,Function Phantom - Paradox (Cubby) [Down's Extra],★ 5.39,175.0,2:30,1151,4.0,9.4,8.3,NM,
4,5,4324962,1970302,Obscura - Clandestine Stars (Awfulness) [nebuwfulness's Extra],★ 5.69,225.0,3:32,1979,4.0,9.3,8.6,NM,
5,6,4043342,1940437,YURiCa/Hanatan - Romeo to Cinderella (pnky) [-karUpA-'s Expert],★ 5.46,170.0,4:19,1493,4.0,9.2,8.2,HD,
6,7,3751559,1827928,Hige Driver - ukigumo (Lude) [Down's Insane],★ 4.87,178.11,2:18,862,3.8,8.0,8.0,HD,
7,8,3220743,1480954,Dareharu - Flowering (Kloyd) [gazimal's Extra],★ 5.31,148.0,3:32,1635,4.2,9.2,8.5,HD,
8,9,3323037,1390700,Iglooghost - Bug Thief (Pyo) [Akeruyri's Another],★ 5.52,187.0,3:15,1138,5.46,10.0,10.0,HR,
9,10,3870932,1880072,Kikuo - Yousei no Kiri (Vararaup) [Insane],★ 5.31,160.0,2:06,594,6.5,9.8,9.8,HR,
10,11,3736118,1817884,ZAQ - Dance In The Game (Airiesu) [Min's Insane],★ 5.30,135.0,3:08,1230,5.2,10.0,10.0,HR,
11,12,2048947,979074,HAG - Hotaru Annaizu (Sarawatlism) [Firefly],★ 5.61,210.0,2:20,974,4.5,10.0,9.11,DT,
12,13,4223151,2026811,Yellow Zebra - Hyouketsu Musume (Mendozer) [Lunatic],★ 5.85,225.0,2:47,1204,4.0,9.67,9.11,DT,
13,14,4275861,2047930,ram jam world - melody (feat. Lisa) (Anxient) [hard],★ 5.32,248.94,2:33,1400,3.0,9.67,9.11,DT,
14,15,1459108,689251,Denkishiki Karen Ongaku Shuudan - Natsu no Owari (Soleily Remix) (- AzRaeL -) [Eschaton],★ 5.78,175.0,5:10,2048,3.8,9.5,8.5,TB,
