,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,969324,451857,Nanahira - Shinchoku Doudesu ka?(Halozy Mix) (AtHeoN) [Extra],★ 6.40,199.0,3:23,1314,4.0,9.5,9.0,NM,
1,2,3056724,1491196,Plum - Halloween Candystore (knowledgeking) [Trick or Treat],★ 6.28,185.0,2:12,1386,4.0,9.5,8.5,NM,
2,3,3875735,1867271,Tsukuyomi - Tsuki ga Michiru (Raijodo) [Collab Extra],★ 5.94,140.0,2:41,1171,4.0,9.5,8.5,NM,
3,4,2480417,1190470,factal - Flux (Sharu) [liquid],★ 5.66,195.0,2:36,1124,4.0,9.4,8.0,NM,
4,5,3871511,1880504,Shoebill - school disco dissociation (Silverboxer) [anthrax bomb on the dance floor],★ 6.47,233.0,2:57,1709,4.0,9.6,9.0,NM,
5,6,4332137,2058747,-45 - Corpse no Kokoro (Shurelia) [Local's Another],★ 4.90,160.0,2:43,1269,6.0,7.0,7.0,NM,
6,7,3994108,1846720,Helblinde - Grief & Malice (Okoratu) [Local's Expert],★ 6.36,200.0,3:36,1516,3.8,9.3,8.5,HD,
7,8,2800493,1352739,Hijirime Laeria - stlaeria (Hinsvar) [Salvation],★ 5.43,186.0,3:00,1035,4.6,8.0,8.5,HD,
8,9,3689413,1799665,PSY - That That (prod. & feat. SUGA of BTS) (Mocaotic) [CAN YOU FILLET],★ 5.88,130.0,2:49,1009,4.0,9.4,8.4,HD,
9,10,4159735,2000686,Hakui Koyori - Ruma (wanseventy bootleg) (Runigh) [AKC GF NM4],★ 5.84,170.0,3:04,1330,4.0,9.4,8.8,HD,
10,11,2883214,1268323,Yorushika - Thoughtcrime (Skydiver) [Rtyzen's Extra],★ 6.33,200.0,3:59,1562,5.46,10.0,10.0,HR,
11,12,2073662,988774,Yorushika - Hitchcock (Shiny Braixen) [Insane],★ 5.65,170.0,3:38,1226,6.5,10.0,10.0,HR,
12,13,3754409,1829285,vivid undress - HAYARU YOROHIYA (Nymphe) [Mayu's Expert],★ 5.71,147.0,2:30,1009,5.2,10.0,10.0,HR,
13,14,3639886,1693461,"Link""0 feat. usagidenki - Uro no Yorishiro (Arushii09) [Expert]",★ 5.93,192.0,3:04,1522,4.94,10.0,10.0,HR,
14,15,3362294,1610217,Hana - Eden's Song (Kowari) [Insane],★ 6.30,243.0,3:05,1373,4.0,9.87,9.64,DT,
15,16,4175835,1999914,A-One feat. Shihori - Magic Girl !! (HyperPigeon) [Satellite's Lunatic],★ 6.44,234.0,2:23,1305,4.0,10.0,9.78,DT,
16,17,3678641,1794734,Tatsh - Xanatos (Athanasia-) [Future],★ 6.32,255.0,1:39,854,4.0,9.67,9.78,DT,
17,18,3970478,1914419,kessoku band - Seiza ni Naretara (cutefro) [Another],★ 5.93,184.5,2:47,1592,4.2,10.0,9.78,DT,
18,19,1601880,592381,Nanahira - Petals (Kalibe) [Flower],★ 6.56,192.0,5:07,2071,4.0,9.5,8.3,TB,
