,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,4412935,2103242,Chitose Sara - Arcadia (-karUpA-) [Extra],★ 5.39,178.0,3:37,1164,4.0,9.2,8.8,NM,
1,2,4728865,2221789,Galdeira - Almagest ([Lily_White]) [Insane],★ 5.28,178.0,1:29,875,4.0,9.3,8.0,NM,
2,3,4728866,2228762,Hatsuki Yura - HAMELN (Pata-Mon) [Insane],★ 4.77,130.0,3:24,1148,4.0,9.0,7.5,NM,
3,4,3312075,1622046,Young Miles - con me (feat. tha Supreme) (funny) [sylas & mimari's expert (#4)],★ 5.03,90.5,2:01,720,3.8,9.2,8.2,NM,
4,5,4728864,2228761,aYu-dachi - Hoshi no Tooru Natsuzora ni Negau (Mayoi Shigure) [Extra],★ 5.36,210.0,1:50,955,3.6,9.2,7.7,NM,
5,6,3842210,1850922,rN - Anteisce (Ryuusei Aika) [Down's Insane],★ 4.63,207.0,2:27,901,4.4,9.0,8.0,NM,
6,7,2895931,1404084,Serena (CV: Makiguchi Mayuki) - Dori Dori (Sekai) [Insane],★ 5.05,178.0,3:46,1221,4.5,9.0,8.0,HD,
7,8,4505864,2140843,yanaginagi - Tobenai Mahoutsukai (Short Ver.) (- Nilou -) [Insane],★ 4.65,172.0,1:32,483,4.0,8.0,7.0,HD,
8,9,4485215,2114695,HIMEHINA - Heart Pie Dancehall (Petal) [iRedi's Insane],★ 4.62,141.0,3:30,1378,4.2,9.0,7.5,HD,
9,10,3913591,1888886,kessoku band - Guitar to Kodoku to Aoi Hoshi (Shurelia) [kuuti's Insane],★ 4.97,193.0,3:30,1191,5.2,10.0,10.0,HR,
10,11,3407970,1668789,City Girl - L2M (feat. Kelsey Kuan) (Hinsvar) [Niva's Insane],★ 4.65,86.0,2:21,585,6.5,10.0,9.8,HR,
11,12,2604836,1217015,LCA - Sayo Shigure no Uta (Yooh) [Kalindraz's Insane],★ 4.50,155.0,2:11,731,5.2,10.0,10.0,HR,
12,13,2096771,988552,Kalafina x The Prodigy - No Good Magia (Start the Witch) (Okoratu) [Insane],★ 5.61,217.5,2:19,1054,4.0,9.8,8.78,DT,
13,14,4345698,2067805,Uchida Maaya - Romantic Dancer (gazimal) [Ame's Hard],★ 5.40,222.0,2:15,1184,3.8,9.67,8.78,DT,
14,15,3277410,1604974,Sasaki Sayaka - Koi Saku Mirai (Shikibe Mayu) [Hard],★ 5.16,252.0,2:20,1101,3.7,9.67,8.78,DT,
15,16,4435377,2109753,Yamajet feat. Amane - cycling! (KPMY) [#AMATSINSANE],★ 5.02 (5.20),220.0,3:30,1311,3.6,9.0,8.0,FM,
16,17,4457813,2114056,PLASTIC GIRL IN CLOSET - VAMPIRE (danissima) [ratarok's Insane],★ 4.49 (5.03),176.0,2:34,815,5.0,8.0,7.0,FM,
17,18,2648827,1138639,Kakka - Ningyou wa Tasogare ni Yume o Miru ka (ponbot) [PogumaX Insane ft. rrtyui],★ 5.38,183.0,4:34,1570,4.0,9.0,7.5,TB,
