,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3299257,1615946,Mimori Suzuko - Egao no Kimi e (Surac) [Affection],★ 5.64,175.0,3:38,1170,4.0,9.2,8.6,NM,
1,2,4756575,2238483,technoplanet - Vision (Luval) [That's Why I Gave up on Mapping Stream],★ 5.71,190.0,2:48,1200,4.0,9.3,8.0,NM,
2,3,3736118,1817884,ZAQ - Dance In The Game (Airiesu) [Min's Insane],★ 4.92,135.0,3:08,1230,4.0,9.0,8.0,NM,
3,4,2328510,1029940,Krewella - Killin' It (Sped Up Ver.) (h3ct1c) [AYE1337's Insane],★ 5.18,176.0,2:40,1180,4.3,9.2,8.0,NM,
4,5,4756577,2238485,Yooh - Destiny (Luval) [Expert],★ 5.65,222.0,1:55,941,4.0,9.3,8.0,NM,
5,6,2822500,950606,xi - d e a t h p i a n o ~for four pianos~ (Riana) [Insane],★ 5.00,170.0,2:41,1380,4.0,9.0,8.0,NM,
6,7,3088850,1497370,Yorushika - Matasaburo (Akito) [Hero's Insane],★ 5.12,200.0,3:47,1349,4.0,9.0,8.0,HD,
7,8,4392029,2088431,IOSYS - Hinarin no Yakui Kankei (Edit ver.) (Luscent) [allein's Insane],★ 4.62,175.0,2:45,1001,4.0,8.0,7.0,HD,
8,9,1958594,937606,Memme - Unison System (Leader) [Bonzi's Insane],★ 4.87,155.0,1:47,745,4.0,9.0,8.0,HD,
9,10,4321823,2064958,MyGO!!!!! - Mayoiuta (Gust) [Setu's Insane],★ 5.32,190.0,2:57,1081,5.2,10.0,10.0,HR,
10,11,3703195,1804004,REDALiCE feat. Shihori - Express Emotion (Bloxi) [Phynta's EX],★ 5.06,182.0,1:54,659,6.5,10.0,9.8,HR,
11,12,2035004,852406,Sota Fujimori - ACCELERATE (Chaoslitz) [Pho's Insane],★ 4.71,153.0,2:01,910,5.2,10.0,9.8,HR,
12,13,3380580,1625222,Crusher - ECHO (Abelia) [Light Insane],★ 5.71,210.0,2:12,825,3.7,9.67,9.11,DT,
13,14,315552,123593,Rostik - Liquid (Paul Rosenthal Remix) (Charles445) [Insane],★ 5.46,199.5,1:37,813,4.0,9.67,9.78,DT,
14,15,4451337,2115386,Mitsukiyo - Gregorius | Symphony (Amateurre) [Shizurre's Hard],★ 5.34,247.5,2:50,1319,3.7,9.67,8.78,DT,
15,16,1602637,762232,Tanya Degurechaff (CV: Yuki Aoi) - Los! Los! Los! (Sotarks) [Shunao's Hard],★ 5.09,360.0,2:19,1034,3.4,9.67,8.44,DT,
16,17,3481618,1703921,MisomyL - Amnehilesie (Realazy) [amb1's Insane],★ 4.90 (5.12),230.0,1:58,826,3.6,9.0,8.0,FM,
17,18,2162331,1001546,Carpool Tunnel - Afterlight (_Epreus) [Insane],★ 4.76 (5.31),172.0,2:22,735,5.0,8.0,7.0,FM,
18,19,3493603,1187781,Virtual Riot - Paper Planes (Cut Ver.) (Fursum) [Insane],★ 4.95 (5.16),175.0,2:02,836,3.5,9.0,7.5,FM,
19,20,4756658,2238506,Eagle - Icarus (Akira Complex Remix) (Dana Iclucia) [Extra],★ 5.74,176.0,6:03,3480,4.0,9.2,8.5,TB,
