,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3435829,1681701,"Mao, Ruli, Kyoko, Shiori from STARRY PLANET* - Bloomy * Smile (Andrea) [Kowari & Andrea's Insane]",★ 5.02,177.0,3:40,1248,4.0,9.0,7.5,NM,
1,2,3654346,1784321,69 de 74 - RTTR (rumiia) [Insane],★ 5.02,180.0,1:43,752,4.0,9.2,8.0,NM,
2,3,1306748,550414,nameless - Milk Crown on Sonnetica (Milan-) [Insane],★ 4.26,254.92,3:16,1183,3.7,9.0,7.0,NM,
3,4,2223393,1061769,James Landino - Shiba Island (Affirmation) [Insane],★ 4.59,162.0,1:59,685,4.3,9.1,7.9,NM,
4,5,1257627,336828,D(ABE3) - MANIERA (SakiZ) [Hoki's Insane],★ 4.99,208.0,1:44,871,4.0,9.0,8.0,NM,
5,6,1880327,896788,solfa feat. Oshima Haruna - magic drive! (Lasse) [Insane],★ 4.59,180.0,3:50,1323,4.0,9.0,8.0,HD,
6,7,1245583,586889,Eisyo-kobu - Oriental Blossom (Crystal) [Pata-Mon's Hyper],★ 4.16,180.0,1:50,654,3.8,8.0,6.5,HD,
7,8,495031,179691,An - Necro Fantasia -An remix- (captin1) [kisata's Insane],★ 4.52,185.0,2:52,862,5.2,10.0,9.8,HR,
8,9,4065441,1961604,Ling Yuan yousa - Hoshi to Kimi ga Kieta Hi (Andrea) [The Moment You Left This World],★ 4.41,88.0,3:02,721,5.85,10.0,10.0,HR,
9,10,3603158,1760458,Jay Chou - Sunny Day (Graphical) [Rainy],★ 5.23,102.77,2:48,973,4.0,9.67,9.11,DT,
10,11,3287423,1606712,KyoKa - Ouran Romancia (GodKei) [Hard],★ 5.03,222.0,2:13,1081,3.5,9.67,9.11,DT,
11,12,1154745,514980,Kanpyohgo - Unmei no Dark Side -Rolling Gothic mix (My Angel Azusa) [Dailycare's Hard],★ 4.75,240.0,2:21,1169,3.7,9.4,8.44,DT,
12,13,3252520,1592535,Nagata Kenta - GCN Baby Park (Fatfan Kolek) [Insane],★ 4.50 (4.72),226.95,1:49,716,3.8,9.0,7.7,FM,
13,14,539090,231114,DJ Fresh (feat. Rita Ora) - Hot Right Now (Radio Edit) (Asphyxia) [Kysphyxia's Insane],★ 4.42 (4.66),175.0,2:54,1053,4.0,8.5,8.0,FM,
14,15,4495373,2135455,Camellia vs. DJ Genki - Traveller feat. moimoi (Aeril) [Insane],★ 5.15,170.0,5:36,2259,4.0,9.0,8.5,TB,
