,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,4404069,2092449,Hommarju feat. Latte - masterpiece (Cut Ver.) (Enon) [Collab Expert],★ 5.26,180.0,3:11,1075,4.0,9.0,8.0,NM,
1,2,4342968,2074237,Thaehan - Doki-Doki (Zabrid) [AdderallDealer's Insane],★ 5.24,180.0,1:41,1028,3.2,9.0,8.0,NM,
2,3,4151073,1986074,YOASOBI - Seventeen (Hinae) [River's Insane],★ 4.45,140.0,3:03,1278,3.9,9.0,8.0,NM,
3,4,3851979,1580043,Laur - Vindication (Sunazuka Akira) [Mysty's Insane],★ 4.57,174.0,2:23,839,4.0,9.0,8.0,NM,
4,5,4668220,2165606,Eru - Pure Furies ~ Whereabouts of the Heart (sjoy) [Lunatic],★ 5.09,220.0,1:22,676,4.0,9.0,8.0,NM,
5,6,3247757,1572337,Hanatan - Palette (Fall) [AF's Insane],★ 4.72,180.0,2:48,842,4.0,9.0,7.8,HD,
6,7,3594938,1756107,SadSvit - Kaseta (allein) [Insane],★ 4.46,170.0,2:07,726,4.0,8.0,7.0,HD,
7,8,1123159,529724,kalon. - Juubaku (Meg) [Mikii's Insane],★ 4.73,190.0,2:58,976,5.2,10.0,9.8,HR,
8,9,2939606,121830,Marianas Trench - Celebrity Status (0_o) [Insane],★ 4.49,164.0,2:47,717,6.5,10.0,9.8,HR,
9,10,3787782,1844020,fhana - Pathos (Kowari) [line],★ 5.41,202.5,1:53,684,4.0,9.67,9.78,DT,
10,11,3783604,1756393,Doubutsu Biscuits - Poppin' Japarhythm (rosario wknd) [Hard!],★ 5.14,210.0,2:47,1224,4.5,9.67,8.44,DT,
11,12,2456668,1175287,"ginkiha, Shiki - Will to live (Niva) [Hard]",★ 5.03,255.0,2:16,942,4.0,9.67,8.44,DT,
12,13,2166086,934960,sasakure.UK - Hisekai Harmonize feat. Kagamine Rin (Enon) [zzx's Insane],★ 4.71 (5.01),220.0,2:37,980,4.0,9.0,7.0,FM,
13,14,2162084,1034063,"K/DA - POP/STARS (feat. Madison Beer, (G)I-DLE, Jaira Burns) (-Mikan) [KKip's Platinum]",★ 4.26 (4.60),170.0,2:48,858,4.4,8.0,7.5,FM,
14,15,4233840,2031314,anNina - ombre (Lince Cosmico) [nuestro vinculo],★ 5.27,175.0,4:45,1646,4.0,9.0,8.0,TB,
