,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,814293,371128,Station Earth - Cold Green Eyes ft. Roos Denayer (Bearizm) [Divine],★ 4.99,174.0,2:01,562,4.0,9.2,8.5,NM,PP跳<br />简单难度1级
1,2,2737694,1321688,Petit Rabbit's - Tenkuu Cafeteria (LeQuack) [Rabbit House],★ 5.16,154.0,3:31,1049,4.0,9.0,8.7,NM,常规跳<br />简单难度2级
2,3,3230041,1581758,Rude-a - LIFE (elicz1) [Hero's Expert],★ 4.93,93.0,2:56,1000,4.0,9.2,8.4,NM,awkward aim<br />简单难度3级
3,4,3093633,1510745,Ohara Sakurako - Skeleton (Hishiro Chizuru) [Petal],★ 5.40,182.0,4:25,1555,4.0,9.0,8.0,NM,综合<br />普通难度1级
4,5,3994109,1846720,Helblinde - Grief & Malice (Okoratu) [Local's Insane],★ 5.38,200.0,3:36,1235,3.2,9.0,8.0,NM,大圈aim<br />普通难度2级
5,6,3743460,1813777,nasuo* - Honey Jet Coaster (zyoi) [Chu's Cutie Honey],★ 5.53,175.0,3:25,1131,4.2,9.3,9.0,NM,综合<br />普通难度3级
6,7,4268400,1818626,TUYU - Shuuten no Saki ga Aru to Suru naraba. (YaMaDarknesss) [Extra],★ 5.83,235.0,2:39,1058,4.0,9.2,8.0,NM,高速跳<br />普通难度4级
7,8,736214,332532,Panda Eyes & Teminite - Highscore (Fort) [Extra],★ 5.83,110.0,3:36,1242,4.0,9.3,8.3,NM,高速跳<br />困难难度1级
8,9,3779139,1839999,Aethoro & Moon Jelly - Unravelling (Arushii09) [Journey],★ 6.09,195.0,4:54,1671,4.2,9.5,9.0,NM,大跨度awkward aim<br />困难难度2级
9,10,4489979,2134125,Takahashi Azumi - Kimi no Kioku -Reload- (iljaaz) [Last Promise],★ 5.41,112.0,6:00,2183,4.0,9.0,8.0,NM,移动与持续aim<br />困难难度3级
