,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,2849349,1378997,"Hua Ling / Miao*Jiang / Yan Ning / kinsen - Let the Wind Tell You (Moecho) [About the Sunsets, the Moonlights, and the Starry Skies]",★ 4.26,120.0,3:31,1156,4.0,8.8,7.7,NM,简单难度1级<br />手控跳切
1,2,4043672,1898570,Yuki Kira - Yukihanasou (Misure) [Lasse's Expert],★ 4.81,125.0,1:51,659,4.0,9.1,8.1,NM,简单难度2级<br />aim control
2,3,3257225,1311266,POLKADOT STINGRAY - Keshin (Keqing) [Collab Insane],★ 5.07,160.0,3:09,1359,4.1,9.0,7.5,NM,简单难度3级<br />强双切
3,4,4077793,1948471,Korone Pochi x Nanahira - Iden Tei Tei Meltdown (Len) [Kokoro's Insane],★ 4.92,155.0,3:56,1555,3.5,9.0,8.3,NM,普通难度1级<br />手控串
4,5,2538199,1218852,YOASOBI - Yoru ni Kakeru (CoLouRed GlaZeE) [Collab Insane],★ 4.58,130.0,3:50,1410,4.0,9.0,7.0,NM,普通难度2级<br />经典手控图
5,6,4149605,1977317,Hoshimachi Suisei - 7days (Petal) [frozz's Another],★ 5.04,128.0,3:16,1431,4.0,9.0,8.0,NM,普通难度3级<br />alt小跳
6,7,3735247,1820113,BlackY feat. Risa Yuzuki - Shuumatsu Kinema (My Angel Jeremy) [Insane],★ 5.02,138.0,3:28,1483,4.0,9.0,8.0,NM,普通难度4级<br />左右手一起控
7,8,3777002,1839117,Yorushika - Plagiarism (alevi) [GalaxySkys' Expert],★ 5.43,100.0,3:57,1606,4.8,9.2,8.5,NM,困难难度1级<br />附点aim
8,9,4056255,1909824,kessoku band - Seiza ni Naretara (Amateurre) [Atinasia's Another],★ 4.98,123.0,4:03,1588,4.0,8.7,8.0,NM,困难难度2级<br />低AR、间距串、分离串、耐力
9,10,4035737,1927039,DUSTCELL - Anemone (Mononymous) [Liyuu x Azyeu's Expert],★ 5.36,136.0,2:52,1214,4.0,9.0,8.3,NM,困难难度3级<br />alt综合
