,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3958382,1918238,Momota Momo - Akogare! Mirai! Kimi to! (Andrea) [Future!],★ 5.32,170.0,3:33,1279,4.0,9.0,8.5,NM,OCNT弃子
1,2,4734310,2230787,Yooh - Ice Angel (hehe) [Marathon],★ 5.36,168.0,5:57,2610,4.0,9.0,8.0,NM,爆裂串图
2,3,4572048,2153852,Ryokuoushoku Shakai - Mela! (Amateurre) [Canada Dry Extra Collab],★ 5.18,138.0,3:32,1381,4.2,9.2,8.4,NM,就难就难
3,4,2735647,1320542,miraie & blackwinterwells - facade (Mayflower) [false colors],★ 5.00,169.0,1:59,699,4.4,9.0,8.3,NM,tech (by td)
4,5,4845516,2237410,xi - FREEDOM DiVE (Bloxi) [Ciyus Miapah's Expert],★ 5.43,222.22,3:36,1640,4.0,9.3,8.5,NM,新的fd
5,6,2818329,1242304,Camellia feat. Luschel - Night Fog (Mir) [yaspo's Insane],★ 4.65,150.0,3:53,1283,3.7,9.0,7.0,NM,rhythm (by td)
6,7,3802185,1850700,Egzod & Maestro Chives - Royalty (feat. Neoni) (Wiguez & Alltair Remix) (evth) [firedigger's Insane],★ 5.18,172.0,3:26,996,4.0,9.0,8.0,HD,aim
7,8,4542656,2155200,"Satou Rina, Inoue Marina & Chihara Minori - Shunkashuutou Festival (CoLouRed GlaZeE) [Insane]",★ 4.78,172.0,3:45,1263,4.0,8.0,8.0,HD,常规 AR8
8,9,2895643,1403832,linear ring - enchanted love ([Hatsune Miku]) [Necho's Another],★ 4.94,190.0,2:06,773,4.0,9.0,8.0,HD,右手控
9,10,4394798,2078299,frederic - Junkie (elicz1) [KoldNoodl's Insane feat. Elayue],★ 5.15,150.0,3:21,1350,5.2,10.0,10.0,HR,左手控
10,11,3730051,1809888,MisoilePunch -Forever- - Bloomin' (R3m) [Cynp-zy's HYPER],★ 5.25,234.0,2:12,1048,6.5,10.0,10.0,HR,高速配小圈
11,12,4087100,1955169,Toromaru - Uncharted Sky (Gordon) [Local's Insane],★ 4.98,164.0,2:19,1189,3.25,10.0,9.8,HR,accuracy
12,13,4654687,2199435,tayori - Withered Flower (RafaelXDP) [Forever],★ 5.62,225.0,2:09,854,4.0,9.8,9.44,DT,O!PC原题
13,14,4133990,1760668,lapix - Day by Day feat. Nicole Curry (IOException) [Hard],★ 5.21,225.0,2:30,1128,3.5,9.67,8.78,DT,高速切
14,15,4560928,2091395,Tokoyami Towa - ANEMONE (Hitomi_Konoe) [JBlue's Hard],★ 5.38,285.0,1:46,867,3.5,9.67,8.44,DT,更高速的切
15,16,4693101,2206869,isonosuke - Baka Tsuushin (feat. Chis-A) (Astrolis) [Ag's Hard],★ 5.06,360.0,1:33,862,3.8,9.67,8.44,DT,继续Ag
16,17,4832129,2237503,Kano - Walk This Way! (Sotarks) [AsuKo's Insane],★ 4.94 (5.30),260.0,3:46,1523,3.8,9.0,8.0,FM,高速单点
17,18,86390,25503,Chai Found Music Workshop - Zeihen ~transformation~ (xierbaliti) [Hard],★ 4.20 (4.74),120.0,2:05,543,5.0,8.0,7.0,FM,antimod
18,19,2024492,967347,Perfume - Daijobanai (eiri-) [Smile],★ 4.37 (4.59),128.0,3:03,1181,4.0,8.5,8.0,FM,128BPM+AR8.5说是 (by td)
19,20,4803203,2257442,Sad Keyboard Guy & Gardens - Waking Shadows feat. eili (Arushii) [Slumbering Penumbra],★ 5.36,190.0,5:13,2337,4.0,9.2,8.2,TB,这歌也有6位数版本惹
