,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3409307,1660414,Kano - Prima Stella (-Hitomi) [Collab Insane],★ 5.25,180.0,4:09,1486,3.8,9.0,8.3,NM,综合
1,2,4247752,2036791,44teru-k respect for Chopin - F.I (-Tynamo) [emu's Extra],★ 5.25,180.0,1:35,1001,3.8,8.8,8.1,NM,死亡串
2,3,3970478,1914419,kessoku band - Seiza ni Naretara (cutefro) [Another],★ 4.27,123.0,4:11,1592,4.2,8.5,8.0,NM,alt/手控
3,4,3434620,1429665,monaca:factory feat. GEM - Mermaid (cherrymeii) [0pp's Insane],★ 4.78,224.0,2:50,1109,4.0,9.0,8.0,NM,你永远可以相信0pp的滑条
4,5,2877144,1391800,Dance Gavin Dance - Son of Robot (Arkayus) [Insane],★ 5.15,218.0,1:57,900,3.8,9.5,9.0,NM,高速
5,6,3381361,1635823,ClariS - Careless (Vanya) [GodKei's Insane],★ 5.10,185.0,3:37,1242,4.0,9.0,8.0,HD,NM1+HD=HD1
6,7,4392029,2088431,IOSYS - Hinarin no Yakui Kankei (Edit ver.) (Luscent) [allein's Insane],★ 4.62,175.0,2:45,1001,4.0,8.0,7.0,HD,AR8常规
7,8,1531842,721804,Omoi - Teo (Kroytz) [Akitoshi vs. SnowNiNo's Insane],★ 5.07,185.0,3:23,1303,5.2,10.0,10.0,HR,真正的HR1在FM1
8,9,4352541,1924272,Kamiyama Yoh - YELLOW (Elzix) [POKEY'S HARD],★ 3.56,118.0,2:37,634,8.45,10.0,8.4,HR,小圈aim
9,10,2776801,1321688,Petit Rabbit's - Tenkuu Cafeteria (LeQuack) [Hard],★ 5.15,269.5,2:00,907,3.5,10.14,9.43,DT(speed_change=1.75),AR10.14
10,11,2799439,1334202,Gentle Stick X M2U - Ineffabilis (Bakugo-) [milr_'s Hard],★ 5.19,240.0,1:37,865,4.0,9.67,8.78,DT,高速切
11,12,4321990,2064958,MyGO!!!!! - Mayoiuta (Gust) [Ag's Hard],★ 5.37,275.5,2:08,1122,4.0,9.55,8.28,DT(speed_change=1.45),light gimmick
12,13,4278022,2048954,Rin'ca - Kiseki no Itazura (-Aqua) [Ame],★ 4.91 (5.24),103.0,2:00,546,4.0,8.8,8.0,FM,skill拼盘
13,14,3681704,1796025,Mitsukiyo - Luminous Memory (CoLouRed GlaZeE) [Kuse's Insane],★ 4.67 (5.25),100.0,2:14,713,5.0,8.5,8.0,FM,泳装梓
14,15,4324657,2067186,Sayuri - Hana no Tou (nenpulse bootleg remix) (Kanui) [Kanui & Komarin's Collab Lily],★ 5.71,175.0,6:29,2631,4.0,9.2,8.5,TB,NM1 Pro Plus
