,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,4559157,2161890,Machico - Growing Up (Yogurtt) [Fantasy],★ 5.96,190.0,3:32,1342,4.0,9.3,9.0,NM,跳
1,2,3920723,1901790,Seven Spires - Succumb (Dcs) [Expert],★ 5.86,179.0,3:28,2011,4.0,9.3,9.0,NM,串
2,3,4125499,1986074,YOASOBI - Seventeen (Hinae) [Duality],★ 5.49,140.0,3:08,1369,4.0,9.3,9.0,NM,alt
3,4,4330639,2069690,Rocket Start - Sushi Blast (Shmiklak) [Bonsai Meets Sushi],★ 5.56,128.0,2:50,1026,4.2,9.3,8.0,NM,slider aim + 分离串
4,5,2900096,1151004,UNDEAD CORPORATION - Embraced by the Flame (Yumerios) [Expert],★ 5.94,215.0,4:02,1860,3.6,9.2,8.6,NM,高速
5,6,4111783,1971451,mifumei - Yurame (KnightC0re) [chill's Expert],★ 5.80,121.0,2:07,751,5.6,9.0,8.3,NM,啥玩意？
6,7,425779,159527,40mP feat.yuikonnu - Ame to Asphalt (captin1) [Skystar's Extra],★ 5.96,190.0,3:44,1375,4.0,9.3,8.3,HD,有人说很简单
7,8,4257344,2040705,ALiCE'S EMOTiON - Voice (nanoya) [Sakura Lunatic],★ 5.30,165.0,3:36,1235,4.0,8.0,8.0,HD,AR8 常规
8,9,4532935,1918662,Mitsukiyo - Rolling Beat (Bearizm) [-kevincela-'s Expert],★ 5.63,170.0,2:15,1139,4.0,9.4,8.5,HD,light alt/tech
9,10,4589836,2174094,CORO MACHIKADO - YOIMACHI CANTARE (Amateurre) [uuuuuuuuuuuuuuu],★ 5.99,171.0,3:24,1464,5.2,10.0,10.0,HR,1位置放小妹妹有问题吗？
10,11,888011,409025,Sleeping With Sirens - If You Can't Hang (pishifat) [Bearizm's Insane],★ 5.75,192.0,3:49,1270,6.76,10.0,10.0,HR,经典老图
11,12,4630529,2054627,Getty - B WiZ U (Cubby) [Drop's Extra],★ 5.64,175.0,2:10,1268,5.2,10.0,10.0,HR,HR tech
12,13,3830641,1798615,Kotoha - Ai Kotoba IV (Yuuma) [Yua's Insane],★ 5.93,208.5,2:21,1182,4.2,10.2,9.24,DT,DT 综合
13,14,3123098,1471627,PinocchioP feat. Hatsune Miku - Ghosts Play to the Audience (AJT) [Hard],★ 5.78,222.0,2:08,1145,4.0,9.67,8.44,DT,按得明白吗？
14,15,3335524,1634241,Keeno - EOS (Elcheer) [Insane],★ 6.00,261.0,1:43,823,4.0,9.67,9.11,DT,高速切
15,16,4787964,2249832,Yorushika - Hirutonbi (Sieu Phan Dong) [Tesla's Insane],★ 5.67,195.0,1:29,748,3.8,10.0,9.24,DT,DT 手控
16,17,1978834,934960,sasakure.UK - Hisekai Harmonize feat. Kagamine Rin (Enon) [Down's Extra],★ 5.59 (5.95),220.0,2:37,1048,4.0,9.3,8.0,FM,SL0 高速单点
17,18,4173117,2005815,P-MODEL - Logic Airforce (AJT) [Aranel's Expert],★ 5.16 (5.87),105.0,2:01,739,5.0,8.0,8.0,FM,aim antimod
18,19,3244647,1529362,Ado - Odo (Heilia) [moph's Extra],★ 5.70 (5.95),128.0,3:25,1468,3.0,9.3,8.8,FM,既然不适合 NM3，那就来 FM3 呆着吧
19,20,1478218,697895,Meramipop - Secret Desire - Dyes Remix - (Skystar) [Irregular],★ 6.20,174.0,5:33,2500,4.0,9.5,8.5,TB,练就完事了
