,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3923537,1903014,"Yamazaki Haruka, Tadokoro Azusa, Machico - Dreaming! (mx10001) [Hope]",★ 6.34,180.0,4:25,1588,3.7,9.2,9.3,NM,综合
1,2,2105741,859515,K A Z M A S A - Bon Appetit S (Oldskool HappyHardcore Remix) (Short Ver.) (BarkingMadDog) [blend s],★ 6.08,170.0,3:15,2153,4.0,9.4,8.4,NM,耐力串
2,3,4444291,2114695,HIMEHINA - Heart Pie Dancehall (Petal) [dkblaze's Expert],★ 6.15,141.0,3:29,1643,4.0,9.5,8.8,NM,alt
3,4,3226349,1580043,Laur - Vindication (Sunazuka Akira) [Extra (#5)],★ 5.98,174.0,2:23,1024,4.7,9.2,8.2,NM,tech
4,5,3651733,1783116,Gram - Nibelungen (xidorn) [lungaspeeding],★ 6.21,222.0,2:11,1167,4.0,9.4,8.5,NM,高速
5,6,3917117,1889101,II-L feat. amelie xoxo - THE EARTH (Ryuusei Aika) [KogumaX's Extra],★ 5.57,128.0,2:00,835,4.8,9.0,8.6,NM,节奏
6,7,4625968,2187831,Shinkai Masayo - Contract Trigger (Lasse) [Revelation],★ 6.32,199.0,3:18,1446,4.0,9.3,9.0,HD,Lasse又来HD1啦
7,8,3786378,1719635,ShinRa-Bansho - Watashi Kenshi (Coeminals) [Collab Extra],★ 5.51,198.0,3:03,1088,4.0,8.0,8.4,HD,AR8 常规
8,9,3698760,1580891,PSYQUI - Hysteric Night Girl -Awakening- (feat. Such) (Luminiscental) [Extra],★ 5.80,160.0,2:58,1374,4.0,9.3,8.0,HD,问就是闪灯推的歌太好听了
9,10,3905821,1088005,Kairiki bear feat. Hatsune Miku - Shippaisaku Shoujo (RLC) [captin's Extra],★ 6.32,240.0,2:59,1251,5.46,10.0,10.0,HR,Miku又来HR1啦
10,11,3037074,1480553,"Katy Perry - California Gurls feat. Snoop Dogg (The Honeysticks) [Warm, Wet & Wild]",★ 6.29,125.0,3:44,1237,6.5,10.0,10.0,HR,小圈
11,12,4510406,2142708,lapix - Toumei Shin'en feat. nayuta (Tolyan) [Hiroto's Extra],★ 6.10,132.0,3:31,1466,5.33,10.0,10.0,HR,aim/手控
12,13,4190978,2013931,Aimer - Stars in the rain (HowRengar) [Eternity],★ 6.37,117.0,3:09,1283,5.0,10.2,9.91,DT,偷偷在 DT1 塞一个 aim 应该没人发现吧
13,14,1319822,317439,dj TAKA - Colors -sasakure.UK Futurelogic Remix- (wa_) [Hyper],★ 6.29,225.0,2:30,1478,4.0,10.0,9.44,DT,没手速的地狱
14,15,4257851,2040958,lapix - Day by day (PSYQUI Remix) (Cut Ver.) (Delta_) [Cris' Hyper],★ 5.88,255.0,1:17,778,4.5,9.67,9.11,DT,切不死你
15,16,2800663,1351876,Maison book girl - snow irony_ (newton-) [deppy's insane_],★ 5.45,229.5,3:00,1220,4.0,8.56,8.64,DT(speed_change=1.35),DT gimmick
16,17,990862,452057,Remo Prototype (CV: Hanamori Yumiri) - Sendan Life (Momochikun) [Collab Extra],★ 5.85 (6.19),227.0,3:02,1146,4.0,9.3,9.0,FM,听说现在 FM1 流行高速
17,18,3604159,1760984,Rin - Koumakan set 10 B ~ Flowering Night (Xiila) [Ballet],★ 4.82 (5.49),128.0,2:45,943,5.0,8.0,8.0,FM,antimod
18,19,1964551,940654,succducc - me & u (-RealG) [secret],★ 5.83 (6.20),160.0,2:58,1263,3.7,9.4,8.7,FM,终于能塞进这张好玩的图了
19,20,3754619,1829371,Rabbit House - Divine Ordeal (Garden) [Garden & yf's Ultimate Trial],★ 6.72,180.0,5:01,2622,4.2,9.5,9.0,TB,搞点真题玩玩（Corsace Open 2022 RO32）
