,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,1923824,905702,Roselia - -HEROIC ADVENT- (NotEnough) [Kowari's Light Insane],★ 4.47,182.0,1:38,525,3.5,8.5,7.5,NM,跳切
1,2,1898639,909776,ASCA - RESISTER (TV Size) (Doormat) [Insane],★ 4.58,183.0,1:27,510,3.8,8.8,7.5,NM,综合
2,3,1387259,654473,DAOKO x Kenshi Yonezu - Uchiage Hanabi (Monstrata) [Pyrotechnic],★ 4.63,96.0,4:53,1206,4.0,9.0,8.0,NM,稳定/耐力
3,4,4318953,1966269,Nor - RE Aoharu (Primonix) [lizzzil's Insane],★ 4.81,180.0,2:03,762,3.6,9.0,8.0,NM,跳切
4,5,1321377,613726,DJ TOTTO - Windy Fairy (Syph) [Meg's Insane],★ 4.88,180.0,1:47,648,4.0,9.0,7.0,NM,跳切
5,6,3123254,1511617,Ishihara Kaori - Plastic Smile ([Karcher]) [GA's Insane],★ 4.72,167.0,4:13,1315,3.8,8.7,8.0,NM,综合
6,7,785982,352570,beatMARIO - Night of Knights (alacat) [N a s y a's Insane],★ 4.67,180.0,2:30,1040,3.0,9.0,7.0,NM,爆发
7,8,992281,462386,Foreground Eclipse - From Under Cover (Caught Up In A Love Song) (Seni) [Lunatic],★ 4.95,200.0,2:55,1222,4.0,9.0,7.5,NM,高速爆发
8,9,861348,391817,Petit Rabbit's - No Poi! (Doormat) [Rabbit House],★ 4.95,158.0,3:56,1303,4.0,9.0,8.0,NM,综合
9,10,3804968,1850518,Midnight Grand Orchestra - Moonlightspeed (Amateurre) [Boppin's Insane],★ 4.70,176.0,2:55,967,3.8,9.0,7.4,NM,综合
