,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,962800,444335,HO-KAGO TEA TIME - Kira Kira Days (Kagetsu) [Mamayu's Insane!!],★ 4.88,200.0,1:29,545,4.0,9.0,8.0,NM,pp跳
1,2,3902695,1880007,kessoku band - Guitar to Kodoku to Aoi Hoshi (ponbot) [Ame's Insane],★ 5.00,193.0,3:12,1195,4.0,9.0,8.0,NM,跳切
2,3,432841,140691,Cres - End Time (Kyshiro) [Insane],★ 4.71,180.0,2:08,754,4.0,8.8,7.5,NM,连打
3,4,3684386,1712992,S3RL feat. Sara - Dopamine (Nuvolina) [Insane],★ 4.88,175.0,2:33,931,3.5,9.0,8.0,NM,跳切
4,5,3558530,1740306,Inori Minase - Yume no Tsubomi (Sotarks) [AmaWendl's Insane],★ 5.02,188.0,4:51,1749,3.8,9.0,7.0,NM,耐力pp跳
5,6,4088464,1970466,Neko Hacker - Setsuna no Chikai (feat. Yuzaki Tsukasa (CV: Kito Akari)) (TV Size) (Vararaup) [Lancien's Insane],★ 4.69,162.0,1:25,518,4.0,9.0,8.0,NM,非常规
6,7,3400066,1663114,Hibiki Sakura (CV: Fairouz Ai) & Naruzo Machio (CV: Ishikawa Kaito) - Onegai Muscle (TV Size) (Basensorex) [alevi's Insane],★ 4.12,132.0,1:28,583,3.8,8.8,8.0,NM,alt
7,8,4221005,2025917,Ryokuoushoku Shakai - Character (Amateurre) [flaketeurre's Insane],★ 4.32,124.0,3:50,1254,3.8,9.0,8.0,NM,full size light alt
8,9,4213971,2023140,halca - Renai millimeter film (TV Size) (Crysisters) [I love you],★ 4.49,128.0,1:26,523,4.0,9.0,8.0,NM,alt/tech
9,10,3983420,1907777,Electro.muster feat. Rita - Dream Walker (Amamya) [Collab Insane],★ 5.13,175.0,3:26,1247,3.7,9.0,8.0,NM,稳定
