,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3766205,1834005,daisan - -+ (My Angel Jeremy) [Insane],★ 4.87,185.0,1:31,693,3.6,9.0,8.0,NM,切指+爆发<br />简单难度1级
1,2,3910493,1871929,Reku Mochizuki - VEZZELiX (Chaoslitz) [iREDi'S iNSANE],★ 5.16,190.0,1:50,950,3.8,9.0,7.4,NM,切指+爆发<br />简单难度2级
2,3,4392407,1889095,Raimukun - Myths Orbis (knowledgeking) [nik's Insane],★ 5.22,210.0,2:02,992,3.8,9.0,8.0,NM,高速爆发<br />简单难度3级
3,4,2606880,1254404,Tatsh - Xevel (emu1337) [Extra],★ 5.54,185.0,1:54,985,3.8,9.0,8.0,NM,稳定<br />普通难度1级
4,5,3731647,1818779,Mashumairesh!! - Masshiro Start Line (TV Size) (Garden) [Expert],★ 5.73,177.0,1:31,587,4.0,9.3,9.0,NM,偏串综合<br />普通难度2级
5,6,2229835,1047781,CORO MACHIKADO - YOIMACHI CANTARE (TV Size) (kunka) [7ka's Extra],★ 5.59,171.0,1:27,629,4.0,9.0,8.5,NM,偏串综合<br />普通难度3级
6,7,4139556,1991315,Feint - Tower Of Heaven (You Are Slaves) (Cut Ver.) (Strategas) [DixAway's Extra],★ 5.70,175.0,1:38,764,4.0,9.3,8.5,NM,中速串<br />普通难度4级
7,8,1192762,564144,dj TAKA feat. AiMEE - True Blue (Chaoslitz) [Cupid],★ 5.52,164.0,4:51,2223,4.0,9.0,8.5,NM,耐力<br />困难难度1级
8,9,4409454,2084590,FN2 feat. Hanatan - KIRISAME MAGIC (DJ katsu CLUB EDIT) (milr_) [KK's Lunatic],★ 5.45,150.0,3:55,1592,4.0,9.0,8.5,NM,手控/耐力<br />困难难度2级
9,10,4140869,1992807,AAAA - Hazukashigariya no Toy Soldier (mx10001) [Extra],★ 6.05,163.0,2:06,1007,3.3,9.1,8.5,NM,变间距串<br />困难难度3级
