,#,BID,SID,Artist - Title (Creator) [Version],SR,BPM,Hit Length,Max Combo,CS,AR,OD,Mods,Notes
0,1,3093632,1510745,Ohara Sakurako - Skeleton (Hishiro Chizuru) [Lasse's Blossom],★ 5.81,182.0,4:24,1562,4.0,9.0,8.0,NM,常规综合1
1,2,3877103,1844548,Suzuki Aina - Hikariiro no Uta (mx10001) [Expert],★ 5.81,188.0,3:58,1564,3.6,9.2,9.0,NM,常规综合2
2,3,3847864,1870200,ChouCho - Ashita no Kimi sae Ireba Ii. (SayuCat_) [Kowayu's Domestic Angels],★ 5.86,178.0,4:56,1795,4.5,9.3,9.0,NM,常规综合3
3,4,4495373,2135455,Camellia vs. DJ Genki - Traveller feat. moimoi (Aeril) [Insane],★ 5.15,170.0,5:36,2259,4.0,9.0,8.5,NM,长图综合1
4,5,4345735,2075767,Toyama Nao - Winter Melody (_kotachi_) [Plumes],★ 5.26,164.0,5:41,1846,3.8,9.0,8.5,NM,长图综合2
5,6,1812393,866938,ClariS - Colorful (tamame's apostate remix) (Bearizm) [Corrupted],★ 5.65,175.0,5:21,2336,4.0,9.0,8.0,NM,长图综合3
6,7,734339,331499,"Wakeshima Kanon - World's End, Girl's Rondo(Asterisk DnB Remix) (Meg) [We cry ""OPEN""]",★ 5.86,175.0,5:23,2048,4.0,9.0,8.0,NM,长图综合4
7,8,1730954,535046,Camellia - Dans la mer de son (niyuji) [Endless Sea],★ 5.88,175.0,5:14,2333,4.0,9.4,8.2,NM,长图综合5
8,9,2281164,1091146,London Elektricity - Just One Second (feat. Maki Nomiya) (-Tochi) [A Beautiful World],★ 5.97,173.0,5:18,2144,4.0,9.3,8.4,NM,长图综合6
9,10,4557507,2161173,Lime - Smiling (tyto456852_osu) [Hard],★ 5.99,172.0,5:11,2055,4.0,9.4,8.0,NM,长图综合7
